Municipios,Agropecuaria,Industria,Adm_pub,T_ex_adm_pub ,Total,Impostos,PIB,PIBpc
Trabiju,8013,6310,12592,11759,38674,1942,40616,26734
Tremembé,6712,172355,178642,334661,692370,62990,755360,16330
Três Fronteiras,24317,9528,25314,43105,102264,4644,106908,19819
Tuiuti,23294,4629,25868,73727,127519,8662,136181,22929
Tupã,102602,233098,234673,1081315,1651687,143230,1794917,27975
Tupi Paulista,32403,9353,60309,159876,261942,12033,273976,18950
Turiúba,12877,2500,13474,11733,40584,1446,42030,24485
Turmalina,24037,2678,14593,13383,54690,1334,56024,33653
Ubarana,33651,172286,31257,64057,301252,15037,316289,57814
Ubatuba,25560,252333,384987,1367132,2030012,108372,2138384,22626
Ubirajara,27153,5692,23823,33122,89790,3683,93473,19158
Uchoa,37070,34760,46108,83044,200982,22402,223384,41010
União Paulista,16313,2171,12633,13350,44467,1004,45471,28906
Urânia,63306,22078,32917,85442,203743,11527,215270,21985
Uru,16081,1906,11618,10739,40343,1021,41364,45169
Urupês,96531,24013,56556,190942,368042,24437,392479,29263
Valentim Gentil,19347,106617,49218,119792,294974,29888,324862,26200
Valinhos,44523,1515242,592668,2990544,5142978,1056589,6199567,47215
Valparaíso,103397,288824,106088,298404,796713,76734,873448,39772
Vargem,8577,10912,36464,65634,121587,10276,131863,11625
Vargem Grande do Sul,43099,137662,160571,539659,880991,93168,974158,23559
Vargem Grande Paulista,25636,480297,211337,1048812,1766082,316613,2082695,35157
Várzea Paulista,1676,911611,424101,1113963,2451350,392351,2843701,22711
Vera Cruz,14118,7767,41076,73571,136532,6315,142847,12559
Vinhedo,11413,2777412,439355,3899783,7127963,2148721,9276684,116276
Viradouro,32555,35168,73068,180857,321647,24175,345822,19083
Vista Alegre do Alto,28964,120459,37241,114898,301563,43955,345517,48674
Vitória Brasil,7765,1731,12188,12659,34342,1587,35929,19374
Votorantim,1426,672301,485021,1601309,2760057,333312,3093368,25466
Votuporanga,44714,506074,346714,1775031,2672532,256155,2928688,30865
Zacarias,39085,8090,18952,19780,85908,2610,88517,37673
