Municipios,Agropecuaria,Industria,Adm_pub,T_ex_adm_pub ,Total,Impostos,PIB,PIBpc
Itupeva,27842,2471217,301663,2521972,5322694,1367493,6690186,105064
Ituverava,141345,358525,175251,672446,1347567,177055,1524622,38981
Jaborandi,46114,7826,31350,47899,133189,4660,137849,21801
Jaboticabal,166764,568721,324605,1560782,2620873,285974,2906847,37192
Jacareí,22871,4003768,863325,5368627,10258591,2446801,12705393,50134
Jaci,25500,151864,29389,133629,340381,52799,393180,56967
Jacupiranga,133825,35856,67928,257545,495154,35271,530424,34870
Jaguariúna,12244,3165982,291781,5394179,8864186,2665658,11529844,212809
Jales,66359,234720,181031,943515,1425626,120950,1546576,29088
Jambeiro,4438,89191,32884,56964,183477,54873,238350,35811
Jandira,501,895960,430665,1863075,3190201,824510,4014711,33921
Jardinópolis,69791,143622,186348,575839,975601,121385,1096985,26477
Jarinu,33599,417800,157842,1500268,2109509,400773,2510283,78658
Jaú,79130,753166,539978,2894651,4266924,466176,4733100,31739
Jeriquara,33363,6218,17648,23526,80754,1632,82386,26068
Joanópolis,19335,12658,50817,119736,202547,10458,213005,16265
João Ramalho,60956,2939,22788,30876,117559,3315,120874,42345
José Bonifácio,114858,340894,153762,601995,1211509,109233,1320742,39058
Júlio Mesquita,5861,1283,21230,20891,49265,1862,51127,11233
Jumirim,12081,51261,16958,34790,115090,16421,131511,33713
Jundiaí,110248,8459357,2007109,24669958,35246672,8386218,43632891,102570
Junqueirópolis,56990,97659,80459,288087,523194,52947,576141,29613
Juquiá,84631,22166,73664,133722,314184,14715,328899,19054
Juquitiba,664,50112,114133,304020,468929,44975,513904,16178
Lagoinha,6516,3230,21232,23598,54576,2014,56591,11684
Laranjal Paulista,31613,405932,112329,417345,967218,145362,1112580,36257
Lavínia,55387,4382,46510,45035,151313,6202,157515,17275
Lavrinhas,3567,25745,30944,39313,99569,10387,109957,14259
Leme,66964,816073,393844,1522756,2799638,407965,3207602,29909
Lençóis Paulista,88585,709586,278083,1241510,2317765,321297,2639062,39598
Limeira,75332,4101581,1142120,5926330,11245363,1946662,13192025,41389
Lindóia,5306,50126,35011,76583,167027,15298,182325,22987
Lins,92921,1412888,261312,1660501,3427622,357744,3785366,44782
Lorena,9106,761100,312015,1419801,2502022,324696,2826718,30231
Lourdes,10167,2137,13841,12565,38710,1338,40048,17989
Louveira,31284,1677715,307792,6577738,8594529,2368923,10963452,286201
Lucélia,23069,93984,83112,197520,397684,43486,441170,20417
Lucianópolis,20488,3224,15266,16283,55262,1744,57006,22295
Luís Antônio,81362,870925,74612,332874,1359773,149529,1509302,102496
Luiziânia,16417,3876,23252,26283,69829,1917,71747,12485
Lupércio,12122,12100,20869,29063,74154,3204,77358,16565
Lutécia,40318,7758,16136,18794,83006,2259,85265,35702
Macatuba,40574,51553,72626,383710,548464,79904,628368,35606
Macaubal,32950,6035,32119,75700,146805,7946,154750,20261
Macedônia,29192,6878,18773,21168,76011,2562,78572,21283
Magda,31591,5146,20117,32528,89382,4178,93560,34066
Mairinque,16141,670167,215286,715201,1616795,280006,1896801,37274
Mairiporã,754,338183,338219,886882,1564038,184515,1748553,18659
Manduri,52771,30297,37057,91995,212121,16518,228639,21726
Marabá Paulista,43126,3799,30366,22213,99504,2075,101579,24731
Maracaí,71318,57382,61265,191830,381796,30638,412434,31581
Marapoama,38323,59691,18405,49033,165452,13957,179409,57395
Mariápolis,17706,3207,18128,16493,55533,1243,56776,15441
Marília,72622,1184512,941700,5028968,7227802,854503,8082306,33839
Marinópolis,7000,1881,13205,11687,33772,959,34731,16859
Martinópolis,44609,62467,109097,248202,464376,31724,496100,19896
Matão,84911,1577193,304007,1684013,3650123,503865,4153989,50890
Mauá,14,4989657,1477457,6550839,13017966,2269516,15287483,36543
Mendonça,18864,89307,28377,75547,212095,21418,233513,53345
Meridiano,28583,89511,22578,78829,219501,21656,241157,68934
Mesópolis,27659,2671,14008,13304,57643,1155,58798,30513
Miguelópolis,311118,357467,99465,227334,995384,19889,1015273,52800
Mineiros do Tietê,18778,24221,47547,70106,160652,11636,172288,14649
Mira Estrela,17447,5454,19671,21898,64471,1954,66425,23135
Miracatu,45202,24640,80595,213221,363658,28876,392534,21470
Mirandópolis,124756,83659,106339,293128,607881,46101,653982,21369
Mirante do Paranapanema,54809,76763,70678,119540,321789,24087,345876,22026
Mirassol,37326,397530,231101,954027,1619985,190238,1810223,30459
Mirassolândia,53191,12816,21506,34558,122071,6503,128574,25078
Mococa,139842,457399,265093,1042009,1904344,216272,2120615,33101
Mogi das Cruzes,325450,3399422,1518293,8138040,13381206,2005294,15386499,34704
Mogi Guaçu,190606,1769676,608758,2551100,5120140,753360,5873500,38321
Mogi Mirim,138385,1057957,437455,2245118,3878915,722656,4601571,49208
Mombuca,21092,24557,18091,30915,94656,5455,100110,27908
Monções,4996,12808,15714,21480,54999,4749,59748,36463
Mongaguá,3638,128923,255100,596334,983995,51585,1035581,19129
Monte Alegre do Sul,37957,19487,36746,72837,167027,11300,178328,21647
Monte Alto,173412,408556,184684,802857,1569509,233311,1802820,37115
Monte Aprazível,65169,165167,95175,291252,616763,42371,659134,32714
Monte Azul Paulista,45545,34946,79046,325700,485237,48797,534034,31885
Monte Castelo,30974,6458,21371,37431,96234,6695,102928,25931
Monte Mor,55628,1760346,247436,889956,2953367,532063,3485430,51755
Monteiro Lobato,3110,7850,19836,31183,61979,3333,65312,14315
Morro Agudo,209187,291644,141645,446200,1088676,87611,1176287,44712
Morungaba,16456,179057,54211,143894,393619,62278,455896,34508
Motuca,29086,8635,21082,20313,79115,2476,81591,18766
Murutinga do Sul,12794,1770,24680,23757,63001,2308,65309,13851
Nantes,26697,2375,20018,59092,108182,11263,119445,36146
Narandiba,29345,56795,29257,57406,172803,13138,185942,45975
Natividade da Serra,7857,3557,31875,26964,70253,2223,72476,10602
Nazaré Paulista,14696,73992,75042,140582,304312,37863,342175,19393
Neves Paulista,29246,38363,34342,92152,194103,18311,212414,25306
Nhandeara,51845,49977,47350,156982,306154,18243,324397,30260
Nipoã,18840,12227,21901,36057,89026,4928,93953,21683
Nova Aliança,30687,40625,31080,60567,162959,10333,173292,30615
Nova Campina,18816,11730,39520,28652,98718,11437,110154,25036
Nova Canaã Paulista,13264,2058,12807,10416,38545,987,39531,18766
Nova Castilho,15690,1288,12982,9742,39702,918,40620,34169
Nova Europa,13793,100001,48798,96248,258840,21826,280666,31385
Nova Granada,100632,28326,75631,204525,409114,25094,434208,22302
Nova Guataporanga,3301,1868,12377,12473,30020,1214,31234,13584
Nova Independência,19968,42397,24615,42866,129846,11418,141264,40592
Nova Luzitânia,4996,2517,18680,22417,48611,1223,49834,11564
Nova Odessa,12503,996985,247191,1737865,2994543,545976,3540519,55777
Novais,10454,1577,24057,20283,56371,1874,58245,11494
Novo Horizonte,110225,119364,165987,594449,990025,104902,1094927,34244
Nuporanga,65608,199744,37308,171586,474246,46616,520862,80256
Ocauçu,45775,8683,20695,36649,111803,4120,115924,32568
Óleo,46497,4442,14963,16179,82081,1069,83151,34703
Olímpia,108562,463796,222743,1046996,1842098,191980,2034078,38251
Onda Verde,24851,19344,23137,85673,153005,12633,165638,37703
Oriente,11383,8809,24388,45099,89679,9860,99538,16050
Orindiúva,49412,158857,36193,122765,367227,36947,404173,74426
Orlândia,43973,543250,186828,829827,1603878,231120,1834997,42678
Osasco,957,3408876,2720837,53613988,59744658,16864388,76609046,114979
Oscar Bressane,37252,9853,15194,25453,87753,3058,90811,34343
Osvaldo Cruz,30193,203495,110925,426971,771583,77746,849329,28949
Ourinhos,45483,485131,439849,1827124,2797587,271820,3069407,27577
Ouro Verde,21544,6059,36272,44464,108338,3991,112329,13981
Ouroeste,37267,127049,68209,147509,380034,41555,421589,49197
Pacaembu,22914,8916,53646,209237,294713,9682,304395,15203
Palestina,77855,54866,51454,103604,287778,17440,305218,32018
Palmares Paulista,8793,6724,44241,57376,117133,5301,122434,9750
Palmeira d'Oeste,51260,12331,34581,83426,181598,6011,187609,18400
Palmital,101117,84539,90936,341674,618266,67541,685807,32431
Panorama,31105,20939,62725,136347,251117,12901,264018,17588
Paraguaçu Paulista,144197,349895,175699,702053,1371844,164189,1536033,28196
Paraibuna,9152,52700,77160,118540,257552,21263,278815,15238
Paraíso,27742,71616,31026,72552,202936,18786,221722,40913
Paranapanema,133694,29159,91317,316810,570980,52767,623747,30438
Paranapuã,48034,5782,19895,34053,107763,3856,111619,25504
Parapuã,90031,50975,43493,144559,329058,23608,352666,34471
Pardinho,31836,64720,32865,148440,277861,23950,301811,47299
Pariquera-Açu,67927,30558,71227,297886,467598,39786,507384,26902
Parisi,30501,3512,14152,17080,65245,1597,66842,24136
Patrocínio Paulista,186058,291452,60525,265076,803110,80138,883249,68930
Paulicéia,27025,16484,35232,64761,143501,7109,150610,21656
Paulínia,22385,14312815,1081363,11633619,27050182,5640696,32690878,352182
Paulistânia,12597,1683,14582,10097,38959,2134,41093,20768
Paulo de Faria,135832,14156,39471,72629,262088,6800,268887,30793
Pederneiras,99265,647336,175915,924997,1847513,346217,2193730,43177
Pedra Bela,14361,5837,25256,34573,80026,3700,83726,13527
Pedranópolis,27888,3374,16405,15059,62727,1659,64385,26269
Pedregulho,135790,419406,63715,226740,845651,28486,874137,60350
Pedreira,7313,326782,184100,570621,1088816,164905,1253721,26297
Pedrinhas Paulista,17572,9701,18244,79074,124591,12275,136866,39259
Pedro de Toledo,24712,7668,45440,58660,136479,7251,143730,14127
Penápolis,67870,306967,246908,918334,1540079,124097,1664177,27090
Pereira Barreto,72934,30595,107931,470016,681476,76865,758341,29118
Pereiras,16706,68673,35087,68252,188718,16337,205055,25969
Peruíbe,37975,268372,289222,859926,1455494,66910,1522404,20512
Piacatu,17139,6589,25848,38964,88541,3240,91781,16951
Piedade,296618,124699,179840,528136,1129294,79369,1208663,22972
Pilar do Sul,87493,43224,106946,378703,616366,60501,676867,23107
Pindamonhangaba,25621,3097042,635907,3258635,7017206,1599736,8616942,43511
Pindorama,31790,81090,65792,160835,339507,33167,372673,21737
Pinhalzinho,32958,30143,55781,125317,244199,18300,262499,17415
Piquerobi,9267,4725,19406,19580,52978,2627,55605,15860
Piquete,2778,21859,46680,81590,152907,11632,164539,11279
Piracaia,20261,71399,105070,242824,439553,36502,476055,18252
Piracicaba,156237,7695203,1687263,11174219,20712922,5708150,26421072,61585
Piraju,53535,91177,114950,435650,695312,46327,741639,24466
Pirajuí,95132,34030,90673,230873,450709,21693,472403,19265
Pirangi,39943,58242,43885,167838,309909,22878,332787,28556
Pirapora do Bom Jesus,160,162693,82496,173979,419328,38101,457429,22065
Pirapozinho,26936,345839,104688,358852,836316,114627,950943,35532
Pirassununga,84510,585599,313220,1391627,2374956,416661,2791617,35916
Piratininga,24534,21548,52874,122734,221691,13694,235385,17157
Pitangueiras,80470,162127,155151,548637,946386,118151,1064537,26395
Planalto,25892,43738,28392,46903,144924,10935,155859,47965
Platina,37116,9786,20577,20590,88069,6299,94368,26073
Poá,2073,667656,495847,1362450,2528026,2132346,4660371,36577
Poloni,22955,30248,24854,43324,121381,10623,132003,26924
Pompéia,39806,444979,97817,487818,1070420,174035,1244455,55740
Pongaí,24455,4720,17765,31174,78113,3133,81246,22644
Pontal,59114,357023,176331,435216,1027684,138298,1165983,25604
Pontalinda,27562,3685,20861,22974,75081,2824,77905,21204
Pontes Gestal,62441,28841,20862,36724,148868,7205,156073,65072
Populina,32845,4778,23734,32048,93405,2801,96206,24583
Porangaba,42714,22032,36215,65261,166222,10060,176282,19681
Porto Feliz,147966,631390,240870,1033960,2054187,545653,2599839,40016
Porto Ferreira,24808,647673,235495,792521,1700497,350656,2051153,36796
Potim,1258,39824,79485,82410,202978,14441,217418,9791
Potirendaba,47663,145964,70590,201793,466010,49149,515159,33631
Pracinha,5375,1725,16383,8558,32041,748,32788,9843
Pradópolis,24211,358061,95649,285223,763144,101883,865026,47049
Praia Grande,3692,748661,1484077,4337903,6574333,467485,7041818,21859
Pratânia,54161,10513,23374,35545,123593,7620,131213,23110
Presidente Alves,22508,3448,18145,26560,70662,2712,73374,15567
Presidente Bernardes,29601,16229,59743,146060,251633,18687,270320,18554
Presidente Epitácio,45864,127087,157564,467048,797563,54572,852135,20603
Presidente Prudente,27576,962650,829412,5320240,7139879,854661,7994539,35618
Presidente Venceslau,22843,31629,139000,481233,674705,41805,716511,18839
Promissão,69619,673216,163024,569956,1475816,150410,1626226,45633
Quadra,38553,4238,22160,29661,94612,4444,99056,27898
Quatá,53595,115594,57862,190914,417965,42281,460246,34845
Queiroz,94114,116181,21591,69021,300908,25065,325973,127785
Queluz,2738,40981,53526,206742,303986,32320,336307,26915
Quintana,21873,51213,26119,60382,159587,13394,172981,28655
Rafard,17040,124311,37591,104270,283212,38842,322054,37097
Rancharia,199707,278235,116294,428072,1022308,82751,1105059,39190
Redenção da Serra,8599,2874,18908,21145,51526,1657,53183,14355
Regente Feijó,51136,100772,84791,378911,615610,95037,710647,34867
Reginópolis,51297,6026,36163,46671,140156,4857,145013,20661
Registro,132252,152299,218228,1257226,1760005,206587,1966593,35990
Restinga,44642,34026,34053,43862,156582,9455,166037,22601
Ribeira,11783,2530,17099,14470,45882,2243,48125,14917
Ribeirão Bonito,49888,25353,50283,118239,243762,12420,256182,21418
Ribeirão Branco,132967,15015,63982,81272,293236,6676,299912,21471
Ribeirão Corrente,43760,7683,24448,33128,109020,1232,110252,19170
Ribeirão do Sul,35729,9860,20020,72931,138540,13130,151670,32705
Ribeirão dos Índios,7668,2798,14065,10174,34705,994,35699,17615
Ribeirão Grande,15833,146236,32594,55680,250343,16381,266724,39530
Ribeirão Pires,1193,624802,444585,1607638,2678218,364712,3042930,25270
Ribeirão Preto,89732,3839988,2931945,23834256,30695921,3631623,34327544,48821
Rifaina,20732,19914,23646,48534,112826,7488,120314,32936
Rincão,37486,25233,43317,79969,186006,10046,196052,20083
Rinópolis,64061,34964,38733,100918,238676,16051,254726,27186
Rio Claro,64510,3188348,906416,4235051,8394325,1405531,9799856,46450
Rio das Pedras,30495,306739,145716,636292,1119241,271933,1391175,42941
Rio Grande da Serra,579,139187,156657,232804,529227,37612,566839,12986
Riolândia,104080,15538,53204,72041,244862,7207,252069,20115
Riversul,14998,4382,23989,23530,66899,2346,69245,11734
Rosana,32503,848862,104306,193806,1179476,16126,1195603,67553
Roseira,3135,77487,45735,135205,261563,32080,293642,27475
Rubiácea,26006,3382,16633,15109,61130,1653,62783,20550
Rubinéia,22734,4039,20876,27745,75394,2623,78017,27931
Sabino,37713,4545,26580,45204,114042,4182,118225,22231
Sagres,11421,2016,12943,10423,36803,821,37624,18390
Sales,35998,6642,29607,65533,137779,5154,142934,24046
Sales Oliveira,65360,60846,47535,148833,322575,23473,346048,32465
Salesópolis,18463,9644,63947,100694,192747,9805,202552,12062
Salmourão,17037,5028,21976,25736,69777,1860,71638,14431
Saltinho,14195,48350,36791,109868,209204,36096,245300,30069
Salto,9909,1760240,463413,3821413,6054975,1255899,7310874,59823
Salto de Pirapora,16333,763695,172891,503817,1456736,231084,1687820,36713
Salto Grande,21299,66461,38363,82013,208135,13925,222060,23597
Sandovalina,68727,233604,31587,42672,376590,6393,382983,95533
Santa Adélia,63156,10269,59058,156875,289358,17675,307033,22038
Santa Albertina,25437,52270,29744,63101,170552,12488,183040,36765
Santa Bárbara d'Oeste,20613,1621261,739986,2745652,5127512,802264,5929776,30407
Santa Branca,7003,60135,61516,100949,229604,14853,244457,16619
Santa Clara d'Oeste,20125,4302,15763,25131,65321,2831,68153,33899
Santa Cruz da Conceição,16344,11993,25403,57447,111188,12475,123662,29264
Santa Cruz da Esperança,18484,3048,14897,14080,50509,1125,51634,27280
Santa Cruz das Palmeiras,42721,16929,117029,289924,466602,33670,500273,15209
